Lp.;Nr RSPO;woj;pow;gm;Województwo;Powiat;Gmina;Typ gminy;Miejscowość;Klasa wielk.;Typ;Nazwa typu;Złożoność;Nazwa szkoły, placówki;Patron;Ulica;Nr domu;Kod poczt.;Poczta;Telefon;Fax;WWW;Publiczność;Kateg. uczniów;Spec. szkoły;Związ. organiz.;Kod org. prowadz.;Nazwa organu prowadzącego;woj. org. prow.;pow. org. prow.;gmina org. prow.;typ gminy;Kod;Nazwa organu rejestrującego;woj. org. rejesr.;pow. org. rejestr;gmina org. rejestr.;Regon;Uczniowie, wychow., słuchacze;w tym dziewczęta;w tym w oddziałach przedszk.;w tym w oddziałach innego typu;Oddziały;Nauczyciele pełnozatrudnieni;Nauczyciele niepełnozatrudnieni (stos.pracy);Nauczyciele niepełnozatrudnieni (w etatach);e-mail;Nr RSPO jednostki sprawozdawczej;Regon jednostki sprawozdawczej;Lon;Lat
12712;120403;2;2;3;WOJ. DOLNOŚLĄSKIE;Powiat dzierżoniowski;Pieszyce;M-Gm;Pieszyce;2;3;Szkoła podstawowa;1;Specjalna Przyszpitalna Niepubliczna Szkoła Podstawowa przy Sudeckim Centrum Zdrowia w Pieszycach;;Ks.Emila Pagacza;6;58-250;Pieszyce;748124830;;;2;1;1;12;22;Sudeckie Centrum Edukacyjne;2;2;3;M-Gm;3;Powiat dzierżoniowski (ziemski);2;2;;2,23E+12;26;0;0;11;0;3;11;4,05;szkolyprzyszpitalnepieszyce@vp.pl;120403;2,23E+12;;
12719;128287;2;2;5;WOJ. DOLNOŚLĄSKIE;Powiat dzierżoniowski;Dzierżoniów;Gm;Dobrocin;3;3;Szkoła podstawowa;1;"Niepubliczna Szkoła Podstawowa Specjalna ""Bajeczne Wzgórza"" w Dobrocinie";;Kościuszki;22;58-203;Dzierżoniów;668241302;;www.pokolorujmyszarosc.pl;2;1;1;100;32;Pokolorujmy Szarość;2;2;5;Gm;3;Powiat dzierżoniowski (ziemski);2;2;;3,62E+13;7;0;0;1;7;2;7;3,38;szkola@bajecznewzgorza.pl;128287;3,62E+13;16.708941551904978;50.73342425
12724;118705;2;2;7;WOJ. DOLNOŚLĄSKIE;Powiat dzierżoniowski;Niemcza;M-Gm;Gilów;3;3;Szkoła podstawowa;1;Niepubliczna Szkoła Podstawowa w Gilowie;;Gilów;49;58-230;Niemcza;748378021;748378021;;2;1;100;100;22;"Stowarzyszenie ""Szkoła z baśni""";2;2;7;M-Gm;1;Gmina Niemcza (miejsko-wiejska);2;2;7;2,22E+12;66;28;0;0;8;6;9;3,68;spgilow@o2.pl;118705;2,22E+12;16.7612923;50.7214087
12725;118579;2;2;7;WOJ. DOLNOŚLĄSKIE;Powiat dzierżoniowski;Niemcza;M-Gm;Przerzeczyn-Zdrój;3;3;Szkoła podstawowa;1;Niepubliczna Szkoła Podstawowa w Przerzeczynie-Zdroju;;Zdrojowa;14;58-231;Przerzeczyn-Zdrój;748375019;748375019;nspprzerzeczynzdroj.szkolnastrona.pl;2;1;100;100;22;Stowarzyszenie E-ŻACZEK;2;2;7;M-Gm;1;Gmina Niemcza (miejsko-wiejska);2;2;7;2,22E+12;49;17;0;0;8;6;8;3,23;pzszkola@interia.pl;118579;2,22E+12;16.8237913;50.6851907
12739;49505;2;3;1;WOJ. DOLNOŚLĄSKIE;Powiat głogowski;Głogów;M;Głogów;2;3;Szkoła podstawowa;1;Szkoła Podstawowa Aslan;C. S. Lewis;Piotra Skargi;5;67-200;Głogów;690026980;;aslan.edu.pl;2;1;100;100;33;Edyta Wierzchowska;2;3;1;M;1;Gmina Głogów (miejska);2;3;1;2,20E+12;182;95;0;0;13;5;31;14,71;aslan.sekretariat@gmail.com;49505;2,20E+12;16.097394473625602;51.66141125
12740;263508;2;3;1;WOJ. DOLNOŚLĄSKIE;Powiat głogowski;Głogów;M;Głogów;2;3;Szkoła podstawowa;1;Szkoła Podstawowa dla Dorosłych w Głogowie;;Obozowa;3;67-200;Głogów;768322442;767500142;;2;2;100;100;22;Międzynarodowa Federacja Modern Ju - Jitsu;2;3;1;M;1;Gmina Głogów (miejska);2;3;1;3,68E+13;17;4;0;17;1;0;8;0,56;sekretariat@certus.edu.pl;263508;3,68E+13;16.090662183967545;51.66993685
12741;196386;2;3;1;WOJ. DOLNOŚLĄSKIE;Powiat głogowski;Głogów;M;Głogów;2;3;Szkoła podstawowa;1;Szkoła Podstawowa Mistrzostwa Sportowego Chrobry Głogów w Głogowie;;Obozowa;3;67-200;Głogów;768356655;767500142;www.sms.glogow.pl;2;1;100;100;22;Międzynarodowa Federacja Modern Ju - Jitsu;2;3;2;Gm;3;Powiat głogowski (ziemski);2;3;;3,68E+13;128;0;0;30;5;0;28;8,56;sekretariat@sms.glogow.pl;196386;3,68E+13;16.090662183967545;51.66993685
12788;74100;2;6;1;WOJ. DOLNOŚLĄSKIE;Powiat jeleniogórski;Karpacz;M;Karpacz;1;3;Szkoła podstawowa;1;Niepubliczna Szkoła Podstawowa Specjalna w Centrum Medycznym Karpacz S.A.;;MYSLIWSKA;15C;58-540;KARPACZ;883358147;757616374;;2;1;1;12;21;CENTRUM MEDYCZNA KARPACZ S.A.;2;6;1;M;3;Powiat jeleniogórski (ziemski);2;6;;2,20E+12;27;0;4;5;0;1;13;4,85;m.leniewicz@cmkarpacz.pl;74100;2,20E+12;15.739066200977806;50.77991645
12789;68549;2;6;1;WOJ. DOLNOŚLĄSKIE;Powiat jeleniogórski;Karpacz;M;Karpacz;1;3;Szkoła podstawowa;1;Niepubliczna Szkoła Podstawowa w Karpaczu, Szkoła 707;;Myśliwska;15 C;58-540;Karpacz;883358140;;www.szkola707.pl;2;1;100;100;21;Centrum Medyczne Karpacz SA;2;6;1;M;1;Gmina Karpacz (miejska);2;6;1;2,20E+12;88;44;9;0;9;10;8;4,48;sekretariat@szkola707.pl;68549;2,20E+12;15.7350908;50.7773177
12833;39883;2;8;2;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Kłodzko;M;Kłodzko;2;3;Szkoła podstawowa;2;Społeczna Szkoła Podstawowa;;Daszyńskiego;12;57-300;Kłodzko;748672457;;zss.klodzko.pl;2;1;100;100;22;Kłodzkie Towarzystwo Oświatowe;2;8;2;M;1;Gmina Kłodzko (miejska);2;8;2;2,20E+12;126;49;0;18;9;0;0;0;zss@zss.klodzko.pl;21720;2,20E+12;16.654153576759256;50.43698715
12838;48705;2;8;3;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Kudowa-Zdrój;M;Kudowa-Zdrój;2;3;Szkoła podstawowa;2;Społeczna Szkoła Podstawowa im. Stanisława Moniuszki w Społecznym Zespole Szkolno-Przedszkolnym;Stanisław Moniuszko;Słone;72;57-350;Kudowa Zdrój;748661264;748661264;;2;1;100;100;22;Nasza Szkoła;2;8;3;M;1;Gmina Kudowa-Zdrój (miejska);2;8;3;2,20E+12;173;89;0;0;8;0;0;0;zsskudowa@02.pl;49065;2,20E+12;16.2130365;50.4368028
12845;92401;2;8;5;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Polanica-Zdrój;M;Polanica-Zdrój;2;3;Szkoła podstawowa;2;Szkoła Podstawowa Specjalna;;Kościelna;2;57-320;Polanica-Zdrój;748681264;748681264;www.osrodekpolanica.pl;2;1;1;11;28;Zgromadzenie Sióstr Św.Józefa-Prowincja Wrocławska;2;64;1;M;3;Powiat kłodzki (ziemski);2;8;;2,20E+12;34;14;0;0;5;0;0;0;sekretariat@polanica.jozefitki.pl;87073;2,20E+12;16.5097782;50.4055698
12846;91130;2;8;5;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Polanica-Zdrój;M;Polanica-Zdrój;2;3;Szkoła podstawowa;1;"Szkoła Podstawowa Stowarzyszenia ""EDUKATOR""";;Kościuszki;13;57-320;Polanica Zdrój;748681580;748681580;;2;1;100;100;22;"Stowarzyszenie ""EDUKATOR""";2;8;5;M;1;Gmina Polanica-Zdrój (miejska);2;8;5;2,20E+12;96;50;0;0;8;8;15;6,72;;91130;2,20E+12;16.522202928157164;50.3940129
12855;61352;2;8;6;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Bystrzyca Kłodzka;M-Gm;Gorzanów;3;3;Szkoła podstawowa;1;Szkoła Podstawowa w Gorzanowie;;Kłodzka;8;57-521;Gorzanów;748121006;748121006;www.tmggorzanow.pl;2;1;100;100;22;Towarzystwo Miłośników Gorzanowa;2;8;6;M-Gm;1;Gmina Bystrzyca Kłodzka (miejsko-wiejska);2;8;6;2,20E+12;47;25;6;7;9;5;9;4,93;spgorzanow@o2.pl;61352;2,20E+12;16.630381339576996;50.3538308
12862;268105;2;8;7;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Kłodzko;Gm;Piszkowice;3;3;Szkoła podstawowa;1;Niepubliczna Szkoła Podstawowa Specjalna;;;53;57-300;Kłodzko;;;;2;1;1;100;28;Zgromadzenie Sióstr Maryi Niepokalanej Prowincja Polska;2;64;1;M;3;Powiat kłodzki (ziemski);2;8;;3,81E+13;9;6;0;0;2;7;6;2,6;;268105;3,81E+13;16.58938696607655;50.47129765
12863;50241;2;8;7;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Kłodzko;Gm;Żelazno;3;3;Szkoła podstawowa;1;Niepubliczna Szkoła Podstawowa w Żelaźnie;;;101;57-361;Żelazno;748689311;;www.szkolyzelazno.eu;2;1;100;100;22;"Stowarzyszenie Inicjatywa Edukacyjna ""Nasze Żelazn";2;8;7;Gm;1;Gmina Kłodzko (wiejska);2;8;7;2,20E+12;114;60;34;15;10;12;8;3,04;sp.zelazno@interia.pl;50241;2,20E+12;16.671831059088923;50.374648699999995
12872;87142;2;8;11;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Nowa Ruda;Gm;Ludwikowice Kłodzkie;3;3;Szkoła podstawowa;1;NIEPUBLICZNA SZKOŁA PODSTAWOWA SPECJALNA PROWADZONA PRZEZ SIOSTRY FRANCISZKANKI;;WIEJSKA;9;57-450;LUDWIKOWICE;748716715;748716715;www.naszeszkoly.ng.pl;2;1;1;100;28;PROW.POL.ZG.S.PIEL.TRZEC.ZAK.REG .ŚW. FRANCISZKA;2;8;7;Gm;3;Powiat kłodzki (ziemski);2;8;;2,20E+12;33;18;0;0;6;26;1;0,85;nsps@poczta.onet.pl;87142;2,20E+12;16.478314377607415;50.61555025
12873;4076;2;8;11;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Nowa Ruda;Gm;Dzikowiec;3;3;Szkoła podstawowa;2;Niepubliczna Szkoła Podstawowa w Dzikowcu;;;95;57-432;DZIKOWIEC;748722465;;www.zspdzikowiec.szkolnastrona.pl;2;1;100;100;22;OCHOTNICZA STRAŻ POŻARNA W DZIKOWCU;2;8;11;Gm;1;Gmina Nowa Ruda (wiejska);2;8;11;2,19E+12;45;21;0;0;8;0;0;0;zsp.dzikowiec@wp.pl;3555;2,19E+12;16.5721907;50.5708128
12874;128751;2;8;11;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Nowa Ruda;Gm;Wolibórz;3;3;Szkoła podstawowa;1;Szkoła Podstawowa AMS w Woliborzu;;;55;57-431;Wolibórz;748139946;;;2;1;100;100;32;"Fundacja Wspierania Aktywności Lokalnej ""FALA""";2;64;1;M;1;Gmina Nowa Ruda (wiejska);2;8;11;3,62E+13;45;25;0;0;10;4;10;1,45;ams.woliborz@fala.edu.pl;128751;3,62E+13;16.55474124730498;50.58860765
12875;4891;2;8;11;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Nowa Ruda;Gm;Włodowice;3;3;Szkoła podstawowa;2;Szkoła Podstawowa im. św. Wojciecha we Włodowicach;;;25;57-400;Nowa Ruda;748721006;748721006;www.zsp.wlodowice.szkolnastrona.pl;2;1;100;100;32;"Fundacja Wspierania Aktywności Lokalnej ""FALA""";2;64;1;M;1;Gmina Nowa Ruda (wiejska);2;8;11;2,19E+12;133;61;0;0;9;0;0;0;spwlodowice@gmail.com;126618;9,33E+13;16.477642444245845;50.57579405
12880;81128;2;8;12;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Radków;M-Gm;Ścinawka Dolna;3;3;Szkoła podstawowa;1;Szkoła Podstawowa Specjalna im. św. Zelii i Ludwika Martin;;;21 B;57-420;Radków;748736106;748736106;szkolascinawka.pl;2;1;1;3;28;Zgromadzenie Sióstr Św. Teresy od Dzieciątka Jezus;14;5;2;M;3;Powiat kłodzki (ziemski);2;8;;2,20E+12;12;0;1;0;3;0;12;5,27;zetspec@gmail.com;81128;2,20E+12;16.5360798;50.4964178
12883;103610;2;8;14;WOJ. DOLNOŚLĄSKIE;Powiat kłodzki;Szczytna;M-Gm;Chocieszów;3;3;Szkoła podstawowa;2;Społeczna Szkoła Podstawowa w Chocieszowie;;Chocieszów;32;57-320;Polanica Zdrój;748681709;748681709;www.szkola.chocieszow.pl;2;1;100;100;22;"""Wśród Swoich""";2;8;14;M-Gm;1;Gmina Szczytna (miejsko-wiejska);2;8;14;2,20E+12;58;28;5;0;8;0;0;0;spchocieszow@wp.pl;90527;2,20E+12;16.4896952;50.4529371
12899;262881;2;9;5;WOJ. DOLNOŚLĄSKIE;Powiat legnicki;Legnickie Pole;Gm;Bartoszów;3;3;Szkoła podstawowa;1;Terapeutyczna Niepubliczna Szkoła Podstawowa Specjalna w Bartoszowie;;Bartoszów;11;59-241;Legnickie Pole;732911912;;;2;1;1;100;33;Marek Zatajski;2;9;5;Gm;3;Powiat legnicki (ziemski);2;9;;3,68E+13;10;2;2;0;5;5;2;0,73;marekzataj@gmail.com;262881;3,68E+13;16.21336443170271;51.18733665
12938;128749;2;11;1;WOJ. DOLNOŚLĄSKIE;Powiat lubiński;Lubin;M;Lubin;2;3;Szkoła podstawowa;1;Szkoła Podstawowa Zielona Szkoła;;Odrodzenia;15;59-300;Lubin;797406451;;www.zielonaedukacja.com;2;1;100;100;33;Jarosław Radko;2;11;1;M;1;Gmina Lubin (miejska);2;11;1;3,62E+13;36;16;0;0;4;0;15;2,96;szkola@zielonaedukacja.com;128749;3,62E+13;16.2000256;51.3957014
12965;123327;2;12;3;WOJ. DOLNOŚLĄSKIE;Powiat lwówecki;Lwówek Śląski;M-Gm;Lwówek Śląski;2;3;Szkoła podstawowa;1;"Szkoła Podstawowa ""Master's Academy"" w Lwówku Śląskim";-;Szkolna;1;59-600;Lwówek Śląski;753070624;;www.mastersacademy.pl;2;1;100;100;33;Kamila Wróblewska-Cetler, Ewelina Grybuś;2;12;3;M-Gm;1;Gmina Lwówek Śląski (miejsko-wiejska);2;12;3;2,24E+12;118;55;15;0;9;10;7;2,55;szkolamistrzow.edu@gmail.com;123327;2,24E+12;15.585773844764645;51.10922795
12966;104377;2;12;3;WOJ. DOLNOŚLĄSKIE;Powiat lwówecki;Lwówek Śląski;M-Gm;Włodzice Wielkie;3;3;Szkoła podstawowa;1;Szkoła Podstawowa we Włodzicach Wielkich;;;32;59-600;Lwówek Śląski;757841126;757841126;;2;1;100;100;22;Stowarzyszenie Rozwoju Wsi Włodzice;2;12;3;M-Gm;1;Gmina Lwówek Śląski (miejsko-wiejska);2;12;3;2,20E+12;68;28;18;0;9;7;5;3,86;spwlodzice@onet.pl;104377;2,20E+12;15.552259077532774;51.181576750000005
12988;263805;2;13;3;WOJ. DOLNOŚLĄSKIE;Powiat milicki;Milicz;M-Gm;Milicz;2;3;Szkoła podstawowa;1;SPOŁECZNA SZKOŁA PODSTAWOWA AD ASTRA;;11 LISTOPADA;5;56-300;MILICZ;713840012;713841206;www.adastra.edu.pl;2;1;100;100;22;STOWARZYSZENIE PRZYJAZNA EDUKACJA;2;13;3;M-Gm;1;Gmina Milicz (miejsko-wiejska);2;13;3;3,68E+13;83;39;0;44;4;2;32;8,8;sekretariatadastra@o2.pl;263805;3,68E+13;17.275484960350873;51.526069199999995
12989;123537;2;13;3;WOJ. DOLNOŚLĄSKIE;Powiat milicki;Milicz;M-Gm;Milicz;2;3;Szkoła podstawowa;1;Społeczna Szkoła Podstawowa im. Astrid Lindgren;;Dąbrowskiego;3;56-300;Milicz;713841296;;;2;1;100;100;32;Fundacja KOM;2;13;3;M-Gm;1;Gmina Milicz (miejsko-wiejska);2;13;3;2,25E+12;98;48;0;0;7;1;20;8,41;szkola@kom.edu.pl;123537;2,25E+12;17.2796984;51.5214439
12999;29940;2;14;1;WOJ. DOLNOŚLĄSKIE;Powiat oleśnicki;Oleśnica;M;Oleśnica;2;3;Szkoła podstawowa;1;Katolicka Szkoła Podstawowa im. Świętego Jana Apostoła i Ewangelisty;imienia Śiętego Jana Apostoła i Ewangelisty;Północna;16;56-400;Oleśnica;713999985;713999985;www.katolicka.edu.pl;2;1;100;100;33;Marian Jankiewicz;2;14;1;M;1;Gmina Oleśnica (miejska);2;14;1;2,20E+12;83;32;0;0;8;9;14;4,81;dyrektor@katolicka.edu.pl;29940;2,20E+12;17.370692439705884;51.219038
13005;90887;2;14;3;WOJ. DOLNOŚLĄSKIE;Powiat oleśnicki;Dobroszyce;Gm;Dobroszyce;3;3;Szkoła podstawowa;2;SPECJALNY OŚRODEK SZKOLNO WYCHOWAWCZY CARITAS ARCHIDIECEZJI WROCŁAWSKIEJ - SZKOŁA PODSTAWOWA SPECJALNA DLA DZIECI Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ W STOPNIU LEKKIM;;Stawowa;23;56-410;Dobroszyce;713141113;713141113;www..soswdobroszyce.pl;2;1;1;11;28;Caritas Archidiecezji Wrocławskiej;2;64;1;M;3;Powiat oleśnicki (ziemski);2;14;;2,20E+12;23;5;0;2;5;0;0;0;dobroszyce@op.pl;53998;2,20E+12;17.3317124;51.2629415
13006;90888;2;14;3;WOJ. DOLNOŚLĄSKIE;Powiat oleśnicki;Dobroszyce;Gm;Dobroszyce;3;3;Szkoła podstawowa;2;SPECJALNY OŚRODEK SZKOLNO-WYCHOWAWCZY CARITAS ARCHIDIECEZJI WROCŁAWSKIEJ- SZKOŁA PODSTAWOWA SPECJALNA DLA DZIECI Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ W STOPNIU UMIARKOWANYM I ZNACZNYM;;Stawowa;23;56-410;Dobroszyce;713141113;713141113;www.soswdobroszyce.pl;2;1;1;11;28;Caritas Archidiecezji Wrocławskiej;2;64;1;M;3;Powiat oleśnicki (ziemski);2;14;;2,20E+12;19;5;0;4;5;0;0;0;dobroszyce@op.pl;53998;2,20E+12;17.3317124;51.2629415
13086;131630;2;17;4;WOJ. DOLNOŚLĄSKIE;Powiat strzeliński;Strzelin;M-Gm;Strzelin;2;3;Szkoła podstawowa;1;Niepubliczna Jęztkowa Szkoła Podstawowa im. Św. Jana Pawła II w Strzelinie;Św. Jan Paweł II;Kamienna;1a;57-100;Strzelin;690690860;;szkolazwartosciami.pl;2;1;100;100;32;Życie z Wartościami;2;17;4;M-Gm;1;Gmina Strzelin (miejsko-wiejska);2;17;4;3,67E+13;27;6;11;0;4;0;1;0,5;kontakt@szkolazwartosciami.pl;131630;3,67E+13;17.0622536;50.7809092
13087;104820;2;17;4;WOJ. DOLNOŚLĄSKIE;Powiat strzeliński;Strzelin;M-Gm;Mikoszów;3;3;Szkoła podstawowa;1;Niepubliczna Szkoła Podstawowa w Mikoszowie;;;27;57-100;Strzelin;713958101;713958102;;2;1;1;100;22;Stowarzyszenie Św. Celestyna w Mikoszowie;2;17;4;M-Gm;3;Powiat strzeliński (ziemski);2;17;;2,20E+12;28;9;0;0;4;2;13;4,75;sekretariat@celestyn.pl;104820;2,20E+12;17.0372659;50.7744838
13088;263244;2;17;4;WOJ. DOLNOŚLĄSKIE;Powiat strzeliński;Strzelin;M-Gm;Strzelin;2;3;Szkoła podstawowa;1;Szkoła Podstawowa SLAVIA;;"gen. S. ""Grota"" Roweckiego";1;57-100;Strzelin;713921891;;slavia.edu.pl;2;1;100;100;22;Stowarzyszenie Edukacyjne SLAVIA;2;17;4;M-Gm;1;Gmina Strzelin (miejsko-wiejska);2;17;4;3,68E+13;17;10;0;7;2;1;15;3,12;lo.gim.slavia@gmail.com;263244;3,68E+13;;
13116;83464;2;19;1;WOJ. DOLNOŚLĄSKIE;Powiat świdnicki;Świdnica;M;Świdnica;2;3;Szkoła podstawowa;1;Niepubliczna Katolicka Szkoła Podstawowa Caritas Diecezji Świdnickiej;im. ks. prałata Dionizego Barana;Kraszowicka;27;58-100;Świdnica;748521584;748520236;www.nkspswidnica.pl;2;1;100;100;22;Caritas Diecezji Świdnickiej w Świdnicy;2;19;1;M;1;Gmina Świdnica (miejska);2;19;1;2,20E+12;95;44;0;0;8;7;12;5,18;nkspswidnica@poczta.internetdsl.pl;83464;2,20E+12;16.491901301355647;50.8295246
